+-----------------+-----------------+-----------------+
|       Word      |    TrueLabel    |     MyLabel     |
+-----------------+-----------------+-----------------+
|       want      |    adventure    |     mystery     |
|      lovely     |     reviews     |     reviews     |
|        ,        |     learned     |     romance     |
|        .        |     learned     |    adventure    |
|        in       |     fiction     |     learned     |
|        ''       |     religion    |     romance     |
|       one       |  belles_lettres |  belles_lettres |
|     airfield    |       lore      |     hobbies     |
|      worked     |  belles_lettres |     fiction     |
|    restraints   |    government   |    government   |
|      kid's      |     hobbies     |     fiction     |
|        ,        |    adventure    |     romance     |
|        ,        |    government   |     romance     |
|       them      |     religion    |     fiction     |
|      speak      |     religion    |  belles_lettres |
|       the       |     fiction     |  belles_lettres |
|       his       |  belles_lettres |    adventure    |
|        .        |     reviews     |    adventure    |
|      county     |      humor      |       news      |
|        it       |     fiction     |     mystery     |
|       and       |     hobbies     |  belles_lettres |
|       our       |     fiction     |    government   |
|       with      |       news      |     fiction     |
|      buddy      |    adventure    |    adventure    |
|      found      |     learned     |     learned     |
|        ,        |       lore      |     romance     |
|       john      |       news      |       news      |
|      hence      |  belles_lettres |     learned     |
|        ,        |     mystery     |     romance     |
|     running     |    adventure    |       news      |
|     various     |     learned     |     learned     |
|        .        |    adventure    |    adventure    |
|    management   |       news      |    government   |
|        ,        |     religion    |     romance     |
|       has       |     religion    |     reviews     |
|      course     |    adventure    |     learned     |
|        or       |     learned     |     learned     |
|     applause    |     reviews     |     learned     |
|       win       |     hobbies     |     fiction     |
|        ,        |       news      |     romance     |
|       were      |       lore      |     fiction     |
|    construct    |  belles_lettres |    government   |
|        as       |    adventure    |  belles_lettres |
|      moral      |     mystery     |  belles_lettres |
|     combine     |     hobbies     |     learned     |
|       the       |  belles_lettres |  belles_lettres |
|        to       |       lore      |  belles_lettres |
|        so       |     learned     |     romance     |
|        ''       |     romance     |     romance     |
|       rusk      |       news      |    editorial    |
|     stampede    |    adventure    |    adventure    |
|       skin      |  belles_lettres |    adventure    |
|    rendezvous   |     learned     |    government   |
|       send      |       lore      |  belles_lettres |
|        ,        |    adventure    |     romance     |
|       book      |  belles_lettres |     romance     |
|        as       |  belles_lettres |  belles_lettres |
|     majority    |       lore      |     learned     |
|        in       |       news      |     learned     |
|      excise     |       news      |    government   |
|       has       |  belles_lettres |     reviews     |
|  inter-american |    editorial    |    government   |
|        it       |     fiction     |     mystery     |
|       care      |     romance     |     hobbies     |
|       are       |  belles_lettres |     learned     |
|        .        |  belles_lettres |    adventure    |
|       said      |     romance     |     romance     |
|        to       |     reviews     |  belles_lettres |
|       turn      |     learned     |    adventure    |
|     because     |       lore      |     learned     |
|        in       |    government   |     learned     |
|       the       |     learned     |  belles_lettres |
|        of       |     learned     |     learned     |
|       were      |  belles_lettres |     fiction     |
|        (        |       lore      |     learned     |
|        at       |     hobbies     |       news      |
|       that      |     learned     |  belles_lettres |
|        of       |    editorial    |     learned     |
|     teaching    |    government   |     learned     |
|      housed     |     romance     |     romance     |
|      breast     |     romance     |       news      |
|     cowardly    |     learned     |       lore      |
|       sin       |     religion    |     religion    |
|   remembering   |    adventure    |     learned     |
|       with      |  belles_lettres |     fiction     |
|       his       |     hobbies     |    adventure    |
|       over      |     learned     |       lore      |
|     brightly    |     mystery     |     hobbies     |
|     decided     |     romance     |       news      |
|        in       |  belles_lettres |     learned     |
|      there      |    adventure    |     learned     |
|       was       |    adventure    |     fiction     |
|        a        |     mystery     |       lore      |
|   existential   |  belles_lettres |     learned     |
|        ,        |       lore      |     romance     |
|        it       |  belles_lettres |     mystery     |
|      freud      |  belles_lettres |  belles_lettres |
|     amazing     |    editorial    |       lore      |
|        .        |     hobbies     |    adventure    |
|     through     |     fiction     |     learned     |
|    invention    |    government   |    government   |
|        ,        |    adventure    |     romance     |
|     capitol     |       news      |     learned     |
|        to       |       news      |  belles_lettres |
|    criticized   |       news      |     learned     |
|       came      |  belles_lettres |     fiction     |
|        .        |  belles_lettres |    adventure    |
|        .        |     fiction     |    adventure    |
|       his       |       news      |    adventure    |
|       pies      |     hobbies     |     hobbies     |
|     schools     |  belles_lettres |     learned     |
|        .        |     learned     |    adventure    |
|       take      |     reviews     |     romance     |
|     machines    |       news      |    government   |
|      grave      |     romance     |    editorial    |
|       she       |      humor      |     romance     |
|      three      |     learned     |       news      |
|    understood   |       news      |  belles_lettres |
|    oxidation    |     learned     |     learned     |
|      floor      |     fiction     |     hobbies     |
|       must      |       lore      |  belles_lettres |
|       but       |      humor      |     romance     |
|  post-inaugural |       lore      |    government   |
|        .        |       news      |    adventure    |
|      clear      |       news      |     learned     |
|        he       |     romance     |     fiction     |
|       but       |  belles_lettres |     romance     |
|     voltaic     |     hobbies     |     learned     |
|        .        |     learned     |    adventure    |
|     objects     |     learned     |     learned     |
|       and       |    government   |  belles_lettres |
|       pay       |    government   |    government   |
|      whose      |    adventure    |  belles_lettres |
|       'em       |       lore      |    adventure    |
|        ?        |     romance     |     mystery     |
|        .        |  belles_lettres |    adventure    |
|        he       |  belles_lettres |     fiction     |
|        so       |     learned     |     romance     |
|     father's    |     mystery     |  belles_lettres |
|     fighting    |       news      |       lore      |
|       have      |     hobbies     |  belles_lettres |
|      steady     |     fiction     |     mystery     |
|        ,        |       lore      |     romance     |
|       and       |    government   |  belles_lettres |
|     brought     |     mystery     |    adventure    |
|     turning     |     learned     |    adventure    |
|     question    |    adventure    |     learned     |
|      report     |     learned     |    government   |
|     hatchet     |       lore      |       lore      |
|        of       |       lore      |     learned     |
|       and       |     learned     |  belles_lettres |
|      union      |     mystery     |     learned     |
|       not       |     reviews     |  belles_lettres |
|        ,        |       lore      |     romance     |
|       that      |  belles_lettres |  belles_lettres |
|  manufacturing  |    government   |    government   |
|        ``       |     romance     |     romance     |
|      closed     |     learned     |     learned     |
|     concepts    |  belles_lettres |     learned     |
|        .        |     learned     |    adventure    |
|       the       |  belles_lettres |  belles_lettres |
|      track      |     fiction     |       news      |
|       the       |  belles_lettres |  belles_lettres |
|       that      |     religion    |  belles_lettres |
|    important    |    government   |     learned     |
|       and       |     fiction     |  belles_lettres |
|        to       |       lore      |  belles_lettres |
|        .        |    government   |    adventure    |
|       the       |    adventure    |  belles_lettres |
|       all       |  belles_lettres |     romance     |
|        ,        |     learned     |     romance     |
|       cost      |    government   |     learned     |
|     versions    |    editorial    |     learned     |
|      which      |  belles_lettres |  belles_lettres |
|        it       |    editorial    |     mystery     |
|   development   |    government   |    government   |
|       his       |     fiction     |    adventure    |
|    certainly    |    editorial    |     learned     |
|    solidarity   |     learned     |     learned     |
|        .        |  belles_lettres |    adventure    |
|      quite      |     learned     |     learned     |
|    backbends    |     hobbies     |     hobbies     |
|     tomorrow    |     reviews     |       news      |
|     complex     |     learned     |     learned     |
|     crowded     |    adventure    |     fiction     |
|    positively   |      humor      |     learned     |
|       the       |  belles_lettres |  belles_lettres |
|       just      |     learned     |     romance     |
|        .        |  belles_lettres |    adventure    |
|        a        |  belles_lettres |       lore      |
|       the       |  belles_lettres |  belles_lettres |
|        a        |     reviews     |       lore      |
|      lives      |     religion    |  belles_lettres |
|       the       |     hobbies     |  belles_lettres |
|        .        |     hobbies     |    adventure    |
|       the       |     religion    |  belles_lettres |
|    reconcile    |  belles_lettres |    government   |
|       role      |     reviews     |     reviews     |
|      pecks      |     mystery     |     hobbies     |
|   fifteen-mile  |    adventure    |     learned     |
|        ,        |      humor      |     romance     |
|        of       |  belles_lettres |     learned     |
|     married     |       lore      |     learned     |
|        ,        |  belles_lettres |     romance     |
|       been      |     learned     |     learned     |
|        or       |     hobbies     |     learned     |
|        it       |     religion    |     mystery     |
|        it       |     learned     |     mystery     |
|       the       |    adventure    |  belles_lettres |
|    transport    |    government   |    government   |
|       with      |     learned     |     fiction     |
|      wagner     |    editorial    |       news      |
|        .        |       news      |    adventure    |
|        (        |     learned     |     learned     |
|       book      |  belles_lettres |     romance     |
|      local      |     religion    |    government   |
|       more      |  belles_lettres |     learned     |
|        in       |       lore      |     learned     |
|     senator     |       news      |       news      |
|    righteous    |  belles_lettres |     religion    |
|     husband     |     reviews     |       lore      |
|       try       |     romance     |    editorial    |
|       and       |     learned     |  belles_lettres |
|       the       |     mystery     |  belles_lettres |
|       that      |  belles_lettres |  belles_lettres |
|    different    |  belles_lettres |     learned     |
|     buckskin    |    adventure    |    adventure    |
|      dirty      |     romance     |    government   |
|     stampede    |       lore      |    adventure    |
|        .        |     learned     |    adventure    |
|        ,        | science_fiction |     romance     |
|  justification  |  belles_lettres |     learned     |
|       that      |     learned     |  belles_lettres |
|       the       |     reviews     |  belles_lettres |
|       and       |    adventure    |  belles_lettres |
|     excluded    |    government   |     learned     |
|       just      |    adventure    |     romance     |
|       need      |    adventure    |     hobbies     |
|        of       |     mystery     |     learned     |
|       were      |       lore      |     fiction     |
|       mike      |     romance     | science_fiction |
|        in       |     learned     |     learned     |
|       many      |     hobbies     |     hobbies     |
|        a        |  belles_lettres |       lore      |
|     reprints    |    editorial    |    government   |
|        ,        |  belles_lettres |     romance     |
|       that      |     romance     |  belles_lettres |
|       were      |  belles_lettres |     fiction     |
|       his       |     romance     |    adventure    |
|       ever      |     romance     |  belles_lettres |
|      heels      |     mystery     |    adventure    |
|        .        |     learned     |    adventure    |
|        my       |     religion    |      humor      |
|    directors    |       lore      |    government   |
|       did       |     romance     |     romance     |
|       came      |    adventure    |     fiction     |
|        in       |  belles_lettres |     learned     |
|        (        |     learned     |     learned     |
|      pulled     |     fiction     |    adventure    |
|       with      |       news      |     fiction     |
|        ,        |       news      |     romance     |
|        ,        |    adventure    |     romance     |
|        to       |     learned     |  belles_lettres |
|       and       |  belles_lettres |  belles_lettres |
|        ?        |     romance     |     mystery     |
|     concerns    |    government   |    government   |
|        of       |     mystery     |     learned     |
|        as       |     reviews     |  belles_lettres |
|       the       |  belles_lettres |  belles_lettres |
|      alight     |  belles_lettres |     mystery     |
|       the       |     hobbies     |  belles_lettres |
|        .        |     romance     |    adventure    |
|      built      |    government   |     hobbies     |
|       and       |     reviews     |  belles_lettres |
