id,label
035001.png,1
035002.png,3
035003.png,7
035004.png,3
035005.png,6
035006.png,0
035007.png,7
035008.png,6
035009.png,4
035010.png,5
035011.png,2
035012.png,2
035013.png,7
035014.png,5
035015.png,3
035016.png,0
035017.png,2
035018.png,5
035019.png,5
035020.png,3
035021.png,2
035022.png,4
035023.png,3
035024.png,0
035025.png,4
035026.png,5
035027.png,1
035028.png,4
035029.png,0
035030.png,3
035031.png,5
035032.png,5
035033.png,4
035034.png,7
035035.png,3
035036.png,7
035037.png,6
035038.png,0
035039.png,3
035040.png,1
035041.png,3
035042.png,3
035043.png,2
035044.png,2
035045.png,2
035046.png,2
035047.png,2
035048.png,6
035049.png,2
035050.png,6
035051.png,3
035052.png,2
035053.png,3
035054.png,5
035055.png,1
035056.png,4
035057.png,3
035058.png,6
035059.png,5
035060.png,6
035061.png,3
035062.png,6
035063.png,4
035064.png,3
035065.png,7
035066.png,2
035067.png,0
035068.png,1
035069.png,0
035070.png,4
035071.png,3
035072.png,6
035073.png,7
035074.png,7
035075.png,6
035076.png,6
035077.png,5
035078.png,3
035079.png,3
035080.png,0
035081.png,2
035082.png,0
035083.png,3
035084.png,6
035085.png,2
035086.png,4
035087.png,6
035088.png,5
035089.png,4
035090.png,6
035091.png,4
035092.png,7
035093.png,2
035094.png,3
035095.png,6
035096.png,5
035097.png,4
035098.png,4
035099.png,5
035100.png,4
035101.png,0
035102.png,1
035103.png,4
035104.png,5
035105.png,4
035106.png,4
035107.png,1
035108.png,0
035109.png,0
035110.png,7
035111.png,3
035112.png,5
035113.png,2
035114.png,6
035115.png,1
035116.png,1
035117.png,3
035118.png,5
035119.png,4
035120.png,0
035121.png,3
035122.png,4
035123.png,6
035124.png,5
035125.png,4
035126.png,3
035127.png,5
035128.png,0
035129.png,1
035130.png,5
035131.png,3
035132.png,6
035133.png,5
035134.png,5
035135.png,7
035136.png,2
035137.png,0
035138.png,1
035139.png,6
035140.png,7
035141.png,6
035142.png,1
035143.png,5
035144.png,6
035145.png,3
035146.png,3
035147.png,1
035148.png,2
035149.png,5
035150.png,1
035151.png,4
035152.png,2
035153.png,7
035154.png,7
035155.png,6
035156.png,4
035157.png,5
035158.png,5
035159.png,2
035160.png,4
035161.png,5
035162.png,2
035163.png,2
035164.png,2
035165.png,6
035166.png,3
035167.png,5
035168.png,4
035169.png,4
035170.png,4
035171.png,0
035172.png,4
035173.png,3
035174.png,0
035175.png,5
035176.png,7
035177.png,7
035178.png,1
035179.png,2
035180.png,4
035181.png,1
035182.png,4
035183.png,5
035184.png,4
035185.png,7
035186.png,5
035187.png,4
035188.png,1
035189.png,5
035190.png,3
035191.png,1
035192.png,3
035193.png,0
035194.png,2
035195.png,6
035196.png,4
035197.png,1
035198.png,3
035199.png,0
035200.png,0
035201.png,6
035202.png,6
035203.png,3
035204.png,3
035205.png,5
035206.png,6
035207.png,1
035208.png,3
035209.png,6
035210.png,2
035211.png,4
035212.png,3
035213.png,6
035214.png,6
035215.png,4
035216.png,0
035217.png,2
035218.png,6
035219.png,3
035220.png,0
035221.png,6
035222.png,7
035223.png,4
035224.png,7
035225.png,3
035226.png,7
035227.png,6
035228.png,2
035229.png,2
035230.png,3
035231.png,5
035232.png,5
035233.png,0
035234.png,2
035235.png,5
035236.png,7
035237.png,6
035238.png,4
035239.png,5
035240.png,5
035241.png,4
035242.png,4
035243.png,7
035244.png,2
035245.png,3
035246.png,3
035247.png,0
035248.png,3
035249.png,7
035250.png,1
035251.png,1
035252.png,2
035253.png,7
035254.png,7
035255.png,7
035256.png,6
035257.png,4
035258.png,1
035259.png,3
035260.png,0
035261.png,7
035262.png,6
035263.png,6
035264.png,5
035265.png,4
035266.png,2
035267.png,4
035268.png,4
035269.png,6
035270.png,1
035271.png,5
035272.png,0
035273.png,1
035274.png,1
035275.png,3
035276.png,3
035277.png,4
035278.png,7
035279.png,0
035280.png,6
035281.png,6
035282.png,6
035283.png,0
035284.png,6
035285.png,5
035286.png,3
035287.png,7
035288.png,2
035289.png,2
035290.png,4
035291.png,0
035292.png,2
035293.png,6
035294.png,7
035295.png,4
035296.png,5
035297.png,2
035298.png,6
035299.png,5
035300.png,7
035301.png,5
035302.png,6
035303.png,4
035304.png,4
035305.png,0
035306.png,5
035307.png,7
035308.png,4
035309.png,1
035310.png,5
035311.png,2
035312.png,0
035313.png,6
035314.png,1
035315.png,3
035316.png,6
035317.png,4
035318.png,0
035319.png,4
035320.png,7
035321.png,0
035322.png,4
035323.png,4
035324.png,1
035325.png,1
035326.png,4
035327.png,6
035328.png,5
035329.png,4
035330.png,4
035331.png,7
035332.png,7
035333.png,5
035334.png,6
035335.png,1
035336.png,5
035337.png,5
035338.png,5
035339.png,0
035340.png,1
035341.png,5
035342.png,4
035343.png,4
035344.png,5
035345.png,2
035346.png,2
035347.png,6
035348.png,0
035349.png,0
035350.png,6
035351.png,6
035352.png,6
035353.png,1
035354.png,0
035355.png,6
035356.png,7
035357.png,1
035358.png,4
035359.png,5
035360.png,7
035361.png,3
035362.png,5
035363.png,5
035364.png,7
035365.png,0
035366.png,7
035367.png,6
035368.png,6
035369.png,7
035370.png,3
035371.png,2
035372.png,3
035373.png,6
035374.png,2
035375.png,1
035376.png,3
035377.png,1
035378.png,5
035379.png,2
035380.png,2
035381.png,5
035382.png,7
035383.png,7
035384.png,0
035385.png,0
035386.png,3
035387.png,3
035388.png,7
035389.png,7
035390.png,2
035391.png,2
035392.png,2
035393.png,2
035394.png,4
035395.png,0
035396.png,2
035397.png,3
035398.png,7
035399.png,3
035400.png,0
035401.png,0
035402.png,0
035403.png,0
035404.png,5
035405.png,7
035406.png,6
035407.png,0
035408.png,4
035409.png,7
035410.png,2
035411.png,6
035412.png,3
035413.png,6
035414.png,6
035415.png,3
035416.png,7
035417.png,4
035418.png,2
035419.png,0
035420.png,7
035421.png,6
035422.png,5
035423.png,6
035424.png,6
035425.png,6
035426.png,6
035427.png,1
035428.png,1
035429.png,7
035430.png,1
035431.png,4
035432.png,0
035433.png,2
035434.png,6
035435.png,6
035436.png,7
035437.png,1
035438.png,5
035439.png,4
035440.png,2
035441.png,7
035442.png,6
035443.png,1
035444.png,3
035445.png,7
035446.png,6
035447.png,3
035448.png,4
035449.png,2
035450.png,4
035451.png,2
035452.png,0
035453.png,4
035454.png,4
035455.png,2
035456.png,3
035457.png,4
035458.png,2
035459.png,6
035460.png,5
035461.png,3
035462.png,6
035463.png,2
035464.png,0
035465.png,0
035466.png,3
035467.png,2
035468.png,6
035469.png,1
035470.png,4
035471.png,7
035472.png,6
035473.png,1
035474.png,7
035475.png,1
035476.png,5
035477.png,7
035478.png,2
035479.png,0
035480.png,4
035481.png,7
035482.png,5
035483.png,4
035484.png,0
035485.png,1
035486.png,7
035487.png,6
035488.png,5
035489.png,4
035490.png,4
035491.png,0
035492.png,5
035493.png,5
035494.png,2
035495.png,0
035496.png,2
035497.png,0
035498.png,3
035499.png,2
035500.png,4
035501.png,7
035502.png,3
035503.png,0
035504.png,3
035505.png,4
035506.png,0
035507.png,5
035508.png,5
035509.png,3
035510.png,5
035511.png,5
035512.png,1
035513.png,2
035514.png,5
035515.png,3
035516.png,0
035517.png,3
035518.png,5
035519.png,4
035520.png,2
035521.png,5
035522.png,5
035523.png,2
035524.png,3
035525.png,2
035526.png,1
035527.png,4
035528.png,5
035529.png,2
035530.png,3
035531.png,4
035532.png,4
035533.png,0
035534.png,5
035535.png,6
035536.png,6
035537.png,4
035538.png,5
035539.png,4
035540.png,4
035541.png,0
035542.png,1
035543.png,3
035544.png,1
035545.png,6
035546.png,6
035547.png,7
035548.png,1
035549.png,4
035550.png,4
035551.png,5
035552.png,7
035553.png,3
035554.png,2
035555.png,0
035556.png,4
035557.png,3
035558.png,3
035559.png,0
035560.png,5
035561.png,6
035562.png,6
035563.png,7
035564.png,0
035565.png,0
035566.png,0
035567.png,5
035568.png,1
035569.png,5
035570.png,7
035571.png,2
035572.png,2
035573.png,4
035574.png,4
035575.png,2
035576.png,5
035577.png,4
035578.png,5
035579.png,2
035580.png,0
035581.png,6
035582.png,1
035583.png,5
035584.png,0
035585.png,2
035586.png,6
035587.png,5
035588.png,2
035589.png,5
035590.png,0
035591.png,2
035592.png,6
035593.png,2
035594.png,3
035595.png,5
035596.png,7
035597.png,3
035598.png,2
035599.png,7
035600.png,6
035601.png,6
035602.png,1
035603.png,0
035604.png,4
035605.png,4
035606.png,7
035607.png,4
035608.png,3
035609.png,2
035610.png,3
035611.png,3
035612.png,4
035613.png,5
035614.png,1
035615.png,6
035616.png,4
035617.png,3
035618.png,7
035619.png,7
035620.png,4
035621.png,6
035622.png,1
035623.png,6
035624.png,2
035625.png,0
035626.png,4
035627.png,3
035628.png,4
